strain	S1_down	S1_up	S2_down	S2_up	S3_down	S3_up
YAL001C::chr1_1	NA	198	NA	562	NA	309
YAL002W::chr1_1	NA	208	NA	573	NA	264
YAL003W::chr1_1	NA	8	NA	0	NA	12
YAL004W::chr1_1	NA	392	NA	925	NA	415
YAL005C::chr1_1	NA	293	NA	693	NA	314
YAL007C::chr1_1	NA	270	NA	945	NA	391
YAL008W::chr1_1	NA	300	NA	1021	NA	337
YAL009W::chr1_1	NA	0	NA	1431	NA	1
YAL010C::chr1_1	NA	1	NA	523	NA	318
YAL011W::chr1_1	NA	366	NA	1500	NA	298
YAL012W::chr00_12	271	217	796	463	534	453
YAL013W::chr1_1	NA	289	NA	247	NA	317
YAL014C::chr1_1	NA	396	NA	758	NA	456
YAL015C::chr1_1	NA	345	NA	1362	NA	556
YAL016C-B::chr00_20	489	53	1	0	420	41
YAL016W::chr00_12	0	0	360	306	0	1
YAL017W::chr1_1	NA	309	NA	554	NA	388
YAL018C::chr1_1	NA	378	NA	636	NA	376
YAL019W::chr1_1	NA	325	NA	549	NA	375
YAL020C::chr1_1	NA	430	NA	1504	NA	408
YAL021C::chr00_21	50	22	0	0	199	215
YAL021C::chr1_1	NA	1	NA	824	NA	157
YAL022C::chr1_1	NA	356	NA	612	NA	473
YAL023C::chr1_1	NA	263	NA	1167	NA	384
YAL024C::chr00_17a	374	261	132	200	367	345
YAL025C::chr1_1	NA	4	NA	2	NA	13
YAL026C::chr1_1	NA	285	NA	1515	NA	358
YAL027W::chr1_1	NA	309	NA	531	NA	414
YAL028W::chr1_1	NA	382	NA	773	NA	564
YAL029C::chr1_1	NA	271	NA	566	NA	449
YAL030W::chr1_1	NA	285	NA	561	NA	488
YAL031C::chr1_1	NA	239	NA	440	NA	354
YAL032C::chr1_1	NA	5	NA	6	NA	8
YAL033W::chr1_1	NA	2	NA	1	NA	3
YAL034C::chr1_1	NA	297	NA	437	NA	367
YAL034W-A::chr1_1	NA	0	NA	2	NA	0
YAL035C-A::chr1_1	NA	1	NA	5	NA	1
YAL035W::chr1_1	NA	0	NA	843	NA	158
YAL036C::chr1_1	NA	879	NA	795	NA	476
YAL037C-A::chr00_20	436	0	1	0	315	0
YAL037W::chr1_1	NA	452	NA	557	NA	303
YAL038W::chr1_1	NA	7	NA	8	NA	4
YAL039C::chr1_1	NA	1	NA	2	NA	440
YAL040C::chr1_1	NA	420	NA	265	NA	338
YAL041W::chr1_1	NA	1	NA	2	NA	2
YAL042W::chr1_1	NA	325	NA	558	NA	356
YAL043C-A::chr1_1	NA	100	NA	374	NA	199
YAL043C::chr1_1	NA	1	NA	4	NA	2
YAL044C::chr1_1	NA	117	NA	395	NA	327
YAL044W-A::chr00_21	331	294	1	1	485	332
YAL045C::chr1_1	NA	283	NA	523	NA	410
YAL046C::chr1_1	NA	289	NA	475	NA	481
YAL047C::chr00_12	4	1	1284	774	170	91
YAL048C::chr1_1	NA	296	NA	495	NA	541
YAL049C::chr00_23	685	479	5	0	510	428
YAL049C::chr1_1	NA	7	NA	330	NA	127
YAL051W::chr1_1	NA	308	NA	617	NA	273
YAL053W::chr1_1	NA	384	NA	635	NA	396
YAL054C::chr00_12	428	309	221	193	388	206
YAL055W::chr1_1	NA	399	NA	619	NA	394
YAL056W::chr1_1	NA	423	NA	838	NA	460
YAL058C-A::chr00_12	219	154	1118	698	263	178
YAL058W::chr1_1	NA	340	NA	1280	NA	264
YAL059W::chr1_1	NA	280	NA	495	NA	209
YAL060W::chr1_1	NA	536	NA	646	NA	525
YAL061W::chr1_1	NA	470	NA	489	NA	453
YAL062W::chr1_1	NA	499	NA	531	NA	416
YAL064C-A::chr00_1	259	185	198	306	255	242
YAL065C::chr1_1	NA	484	NA	471	NA	401
YAL066W::chr1_1	NA	353	NA	483	NA	368
YAL067C::chr1_1	NA	614	NA	694	NA	468
YAL067W-A::chr00_20	429	241	3	0	412	191
YAL068C::chr1_1	NA	430	NA	772	NA	461
YAR002C-A::chr00_16a	444	266	227	196	697	539
YAR002W::chr1_1	NA	44	NA	1104	NA	26
YAR003W::chr1_1	NA	128	NA	623	NA	193
YAR007C::chr1_1	NA	3	NA	6	NA	0
YAR008W::chr1_1	NA	14	NA	4	NA	6
YAR014C::chr1_1	NA	11	NA	869	NA	6
YAR015W::chr1_1	NA	0	NA	510	NA	105
YAR018C::chr1_1	NA	0	NA	655	NA	3
YAR019C::chr1_1	NA	0	NA	2	NA	2
YAR020C::chr1_1	NA	262	NA	792	NA	414
YAR023C::chr1_1	NA	351	NA	676	NA	398
YAR027W::chr1_1	NA	290	NA	720	NA	241
YAR028W::chr1_1	NA	505	NA	1139	NA	495
YAR029W::chr1_1	NA	467	NA	1165	NA	471
YAR030C::chr1_1	NA	278	NA	860	NA	299
